船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Open Hatch Cargo,12.88,25.29,3.07,23,63669.0,0.95,1.32
Open Hatch Cargo,12.9,24.92,2.89,45,63469.71,0.96,1.33
Open Hatch Cargo,12.92,25.1,3.48,15,64089.8,0.96,1.34
Open Hatch Cargo,12.96,24.86,5.01,33,62680.27,0.96,1.35
Open Hatch Cargo,13.0,25.38,2.54,71,62915.99,0.97,1.36
Open Hatch Cargo,13.04,26.15,1.91,20,63541.45,0.97,1.37
Open Hatch Cargo,13.08,25.78,1.98,32,63279.19,0.98,1.38
Open Hatch Cargo,13.1,25.18,2.47,34,63439.32,0.96,1.36
Open Hatch Cargo,13.13,25.8,1.18,16,63551.31,0.98,1.39
Open Hatch Cargo,13.16,25.75,2.48,7,63258.29,0.98,1.39
Open Hatch Cargo,13.17,26.11,1.85,27,62867.56,0.98,1.4
Open Hatch Cargo,13.2,25.1,2.05,52,63019.17,0.97,1.39
Open Hatch Cargo,13.21,25.77,2.33,14,62967.5,0.96,1.37
Open Hatch Cargo,13.25,25.9,1.38,30,62707.87,0.96,1.37
Open Hatch Cargo,13.29,25.14,2.81,16,63203.69,0.97,1.39
Open Hatch Cargo,13.3,24.87,2.47,57,62677.02,0.96,1.38
Open Hatch Cargo,13.32,27.53,0.95,5,63614.2,0.97,1.4
Open Hatch Cargo,13.33,26.02,2.28,18,63068.5,0.96,1.38
Open Hatch Cargo,13.36,25.2,2.25,6,62451.5,0.9,1.3
Open Hatch Cargo,13.38,25.75,1.29,15,62894.27,0.97,1.4
Open Hatch Cargo,13.4,25.31,2.08,44,62839.11,0.97,1.4
Open Hatch Cargo,13.42,26.22,1.62,33,62934.67,0.97,1.4
Open Hatch Cargo,13.44,25.15,1.26,5,62539.2,0.91,1.32
Open Hatch Cargo,13.46,25.22,1.68,20,62620.6,0.95,1.38
Open Hatch Cargo,13.48,26.47,0.65,9,62581.44,0.92,1.33
Open Hatch Cargo,13.5,25.45,2.03,78,63005.1,0.96,1.4
Open Hatch Cargo,13.52,26.37,1.35,7,63172.57,0.98,1.43
Open Hatch Cargo,13.54,26.18,1.43,24,63164.54,0.94,1.37
Open Hatch Cargo,13.56,26.13,0.75,8,62286.75,0.96,1.41
Open Hatch Cargo,13.58,24.86,4.42,36,63166.03,0.96,1.41
Open Hatch Cargo,13.6,25.94,1.35,35,62993.29,0.97,1.42
Open Hatch Cargo,13.63,25.6,1.99,21,63735.19,0.95,1.4
Open Hatch Cargo,13.64,25.83,1.48,10,62777.6,0.96,1.41
Open Hatch Cargo,13.67,25.59,1.84,26,63456.65,0.95,1.41
Open Hatch Cargo,13.68,25.66,1.42,8,61947.62,0.96,1.42
Open Hatch Cargo,13.7,25.76,1.81,42,63164.38,0.95,1.41
Open Hatch Cargo,13.71,25.18,1.51,16,62639.25,0.92,1.37
Open Hatch Cargo,13.72,26.04,1.64,8,63802.25,0.91,1.34
Open Hatch Cargo,13.75,25.23,2.5,31,62690.68,0.96,1.42
Open Hatch Cargo,13.79,25.99,1.4,20,63938.75,0.94,1.4
Open Hatch Cargo,13.8,25.88,1.23,63,63071.44,0.97,1.45
Open Hatch Cargo,13.83,25.36,1.97,20,63550.45,0.95,1.42
Open Hatch Cargo,13.84,26.8,1.48,5,63043.8,0.91,1.36
Open Hatch Cargo,13.88,26.06,1.7,18,62137.33,0.93,1.4
Open Hatch Cargo,13.9,25.41,1.38,34,63545.5,0.94,1.41
Open Hatch Cargo,13.92,25.95,1.47,22,63672.86,0.93,1.4
Open Hatch Cargo,13.96,26.49,1.28,33,63286.82,0.94,1.41
Open Hatch Cargo,14.0,25.81,1.36,60,63255.08,0.96,1.44
Open Hatch Cargo,14.04,25.7,1.09,21,62872.14,0.92,1.4
Open Hatch Cargo,14.08,26.18,1.21,18,63075.44,0.92,1.39
Open Hatch Cargo,14.1,25.36,1.62,31,63621.65,0.95,1.45
Open Hatch Cargo,14.12,25.92,1.43,8,62931.75,0.94,1.44
Open Hatch Cargo,14.13,26.25,1.88,15,62857.73,0.92,1.4
Open Hatch Cargo,14.16,26.56,1.43,5,63108.8,0.94,1.44
Open Hatch Cargo,14.17,25.44,1.39,16,62854.38,0.92,1.42
Open Hatch Cargo,14.2,25.86,0.95,35,62911.66,0.93,1.43
Open Hatch Cargo,14.21,25.62,1.02,8,62609.0,0.94,1.45
Open Hatch Cargo,14.25,26.16,1.04,15,62752.07,0.94,1.45
Open Hatch Cargo,14.3,25.86,1.72,25,63023.64,0.96,1.48
Open Hatch Cargo,14.32,26.95,0.71,7,62784.43,0.94,1.45
Open Hatch Cargo,14.33,25.47,1.6,8,63762.75,0.89,1.37
Open Hatch Cargo,14.36,25.94,0.55,5,63680.0,0.94,1.46
Open Hatch Cargo,14.37,26.24,0.89,5,62609.8,0.97,1.51
Open Hatch Cargo,14.38,25.53,0.67,9,62003.67,0.98,1.53
Open Hatch Cargo,14.4,25.85,1.34,25,62932.72,0.94,1.46
Open Hatch Cargo,14.46,25.9,1.61,6,62479.33,0.95,1.48
Open Hatch Cargo,14.5,25.42,1.09,22,63056.64,0.94,1.47
Open Hatch Cargo,14.58,26.47,1.84,7,62277.14,0.96,1.51
Open Hatch Cargo,14.6,26.39,1.26,13,62035.92,0.97,1.52
Open Hatch Cargo,14.7,25.55,0.45,8,63442.0,0.92,1.47
Open Hatch Cargo,14.9,25.78,0.7,5,62594.4,1.0,1.61
Other,10.25,15.64,9.2,6,28130.5,1.0,1.15
Other,10.3,26.21,14.82,6,93972.83,1.0,1.15
Other,10.4,38.6,1.52,5,174732.0,1.0,1.16
Other,11.0,16.57,9.23,18,38957.94,1.0,1.23
Other,11.17,19.73,12.17,5,43849.6,1.0,1.25
Other,11.4,11.88,0.57,5,17623.4,0.97,1.24
Other,11.46,25.33,14.31,5,88826.6,1.0,1.28
Other,11.5,18.28,9.77,8,43335.38,1.0,1.29
Other,11.7,11.99,0.37,5,11333.6,1.0,1.31
Other,11.83,16.71,2.22,7,36937.71,1.0,1.32
Other,11.9,15.21,5.75,6,22103.5,1.0,1.33
Other,12.3,18.96,7.81,5,28808.2,1.0,1.38
Other,12.8,24.7,1.26,5,56862.8,1.0,1.43
