船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,9.82,19.82,11.25,5,74108.8,0.94,0.92
Bulk Carrier,9.83,22.86,5.47,121,69537.9,0.98,0.96
Bulk Carrier,9.84,25.63,4.45,9,71743.22,0.97,0.95
Bulk Carrier,9.85,21.88,9.37,8,73798.62,0.94,0.93
Bulk Carrier,9.86,23.59,3.72,5,63197.6,1.0,0.99
Bulk Carrier,9.87,21.96,7.56,11,72082.45,0.99,0.97
Bulk Carrier,9.88,22.83,8.04,108,72075.6,0.99,0.98
Bulk Carrier,9.9,22.86,10.47,69,78456.52,0.97,0.96
Bulk Carrier,9.91,21.26,4.28,5,57057.0,0.97,0.96
Bulk Carrier,9.92,22.65,7.07,140,73486.63,0.98,0.97
Bulk Carrier,9.95,24.75,2.54,5,63459.4,1.0,0.99
Bulk Carrier,9.96,23.11,6.04,119,71279.68,0.98,0.98
Bulk Carrier,9.99,19.3,10.86,5,76785.2,1.0,1.0
Bulk Carrier,10.0,23.35,7.21,288,72843.61,0.98,0.98
Bulk Carrier,10.01,13.07,11.74,6,68081.5,0.95,0.95
Bulk Carrier,10.02,22.09,8.53,9,72517.22,0.98,0.99
Bulk Carrier,10.03,20.36,11.46,5,82335.6,0.94,0.94
Bulk Carrier,10.04,22.49,5.4,164,68439.29,0.98,0.98
Bulk Carrier,10.05,22.64,9.25,8,73347.75,0.98,0.99
Bulk Carrier,10.06,19.37,11.14,9,71425.67,0.98,0.99
Bulk Carrier,10.07,21.26,9.09,8,66252.88,0.98,0.99
Bulk Carrier,10.08,22.34,6.88,142,70960.18,0.97,0.98
Bulk Carrier,10.1,23.04,7.85,103,70633.21,0.99,1.0
Bulk Carrier,10.11,24.98,2.13,5,72743.0,0.94,0.95
Bulk Carrier,10.12,24.95,4.33,29,73843.79,0.98,1.0
Bulk Carrier,10.13,23.39,5.41,125,67937.31,0.98,1.0
Bulk Carrier,10.15,23.76,3.54,6,73000.33,0.98,0.99
Bulk Carrier,10.16,21.35,6.12,19,66359.95,0.98,0.99
Bulk Carrier,10.17,23.39,7.12,141,73766.13,0.99,1.01
Bulk Carrier,10.18,17.03,10.78,5,74498.2,0.91,0.93
Bulk Carrier,10.19,21.68,8.75,9,74507.33,0.97,0.99
Bulk Carrier,10.2,23.44,6.89,93,70056.47,0.98,1.0
Bulk Carrier,10.21,22.08,7.83,158,72065.41,0.98,1.0
Bulk Carrier,10.22,23.34,2.68,5,67324.0,0.97,0.99
Bulk Carrier,10.23,20.25,10.05,6,70414.33,1.0,1.02
Bulk Carrier,10.24,24.07,9.16,14,80102.21,0.95,0.97
Bulk Carrier,10.25,21.89,8.32,176,73337.7,0.98,1.01
Bulk Carrier,10.26,17.04,10.42,7,58197.57,0.98,1.0
Bulk Carrier,10.28,20.8,7.92,19,66000.63,0.98,1.01
Bulk Carrier,10.29,23.38,5.34,144,70329.56,0.99,1.02
Bulk Carrier,10.3,22.93,7.19,128,70919.1,0.98,1.01
Bulk Carrier,10.31,24.93,2.65,6,72173.17,0.98,1.01
Bulk Carrier,10.32,23.82,8.26,18,73660.67,0.98,1.01
Bulk Carrier,10.33,22.82,5.94,187,69558.48,0.98,1.01
Bulk Carrier,10.34,23.25,3.33,5,62263.2,0.97,1.0
Bulk Carrier,10.35,20.43,9.49,7,67078.86,0.98,1.01
Bulk Carrier,10.36,22.82,9.38,13,77473.23,0.97,1.0
Bulk Carrier,10.37,20.03,9.47,24,72921.88,0.96,0.99
Bulk Carrier,10.38,22.6,7.96,155,74385.01,0.99,1.03
Bulk Carrier,10.4,21.79,8.27,136,70829.57,0.97,1.01
Bulk Carrier,10.42,22.64,6.61,181,71434.92,0.98,1.02
Bulk Carrier,10.43,17.61,11.16,8,74225.75,0.94,0.98
Bulk Carrier,10.44,23.82,3.46,26,63711.65,0.98,1.03
Bulk Carrier,10.45,20.12,8.03,17,67947.24,0.95,0.99
Bulk Carrier,10.46,23.24,6.89,165,74686.77,0.97,1.02
Bulk Carrier,10.48,23.51,8.09,30,75987.13,0.98,1.02
Bulk Carrier,10.5,23.04,6.72,350,71138.55,0.98,1.02
Bulk Carrier,10.51,17.85,11.1,8,78188.38,0.94,0.99
Bulk Carrier,10.52,22.57,6.99,19,65567.66,0.98,1.03
Bulk Carrier,10.53,23.05,3.99,9,67341.11,0.98,1.04
Bulk Carrier,10.54,23.64,6.13,184,70843.7,0.98,1.03
Bulk Carrier,10.55,19.96,9.47,7,71959.14,0.98,1.03
Bulk Carrier,10.56,19.97,8.07,20,61707.4,0.98,1.04
Bulk Carrier,10.58,23.8,5.46,225,72434.86,0.98,1.03
Bulk Carrier,10.6,22.53,7.53,125,72046.52,0.97,1.03
Bulk Carrier,10.61,17.44,10.08,5,56379.6,0.97,1.03
Bulk Carrier,10.62,22.04,2.43,11,64794.09,0.99,1.05
Bulk Carrier,10.63,22.75,6.67,226,71364.64,0.98,1.04
Bulk Carrier,10.64,20.74,10.19,20,71808.4,0.97,1.03
Bulk Carrier,10.65,25.98,4.65,7,68772.86,0.94,1.0
Bulk Carrier,10.66,24.69,1.68,9,72646.44,1.0,1.07
Bulk Carrier,10.67,23.52,6.98,190,72861.41,0.98,1.04
Bulk Carrier,10.68,19.69,10.46,21,71082.05,0.95,1.01
Bulk Carrier,10.69,20.8,9.5,7,69847.29,0.96,1.02
Bulk Carrier,10.7,23.14,5.48,122,68264.7,0.98,1.05
Bulk Carrier,10.71,22.37,5.89,152,69329.35,0.97,1.04
Bulk Carrier,10.72,22.78,7.22,27,67049.56,0.98,1.05
Bulk Carrier,10.73,22.3,9.1,8,81590.88,0.94,1.01
Bulk Carrier,10.74,14.29,13.39,7,78455.14,0.94,1.0
Bulk Carrier,10.75,22.06,6.96,257,68611.6,0.97,1.05
Bulk Carrier,10.76,24.55,9.21,19,79804.74,0.94,1.02
Bulk Carrier,10.77,24.36,3.95,9,72456.78,0.93,1.01
Bulk Carrier,10.79,23.67,7.09,175,76231.37,0.98,1.05
Bulk Carrier,10.8,22.39,6.4,174,65289.23,0.98,1.06
Bulk Carrier,10.81,17.82,12.37,10,77480.5,0.92,1.0
Bulk Carrier,10.82,19.7,9.68,12,72513.83,0.95,1.03
Bulk Carrier,10.83,23.53,5.05,240,70610.71,0.97,1.05
Bulk Carrier,10.84,24.32,3.5,19,62662.42,0.98,1.07
Bulk Carrier,10.85,23.9,1.55,10,70089.2,0.96,1.04
Bulk Carrier,10.87,23.7,1.56,19,67224.68,0.98,1.06
